Mouser Part Number,Manufacturer Part Number,Manufacturer Name,Description,Quantity 1
581-08055A220FAT2A,08055A220FAT2A,KYOCERA AVX,,16
581-08055A330FAT2A,08055A330FAT2A,KYOCERA AVX,,16
667-10TPE47MAZB,10TPE47MAZB,Panasonic,,1
757-74LCX00FT,74LCX00FT,Toshiba,,1
584-AD5620BRJZ1500R7,AD5620BRJZ-1500RL7,Analog Devices Inc.,,4
584-AD9834CRUZ,AD9834CRUZ,Analog Devices Inc.,,4
604-AP2012SGD3,AP2012SGD3,Kingbright,,2
895-FT230XS-U,FT230XS-U,FTDI,,1
81-GCM219R71H103KA7D,GCM219R71H103KA37D,Murata,,4
81-GCM21BR71C475KA3K,GCM21BR71C475KA73K,Murata,,19
81-GCM21BR71H104KA7L,GCM21BR71H104KA37L,Murata,,39
81-GCM21BR71H105KA3K,GCM21BR71H105KA03K,Murata,,10
771-LPC1114FDH28/102,LPC1114FDH28/102:5,NXP Semiconductors,,1
584-LT1818CS5#TRMPBF,LT1818CS5#TRMPBF,Analog Devices Inc.,,4
810-MLF2012A3R3M,MLF2012A3R3M,TDK,,24
513-NJM2884U1-33-TE1,NJM2884U1-33-TE1,Nisshinbo Micro Devices,,1
,NJW4191M,Nisshinbo Micro Devices,,2
660-RK73B2ATTD103J,RK73B2ATTD103J,KOA Speer,,9
660-RK73B2ATTD123J,RK73B2ATTD123J,KOA Speer,,8
660-RK73B2ATTD270J,RK73B2ATTD270J,KOA Speer,,10
660-RK73B2ATTD302J,RK73B2ATTD302J,KOA Speer,,8
660-RK73B2ATTD391J,RK73B2ATTD391J,KOA Speer,,16
660-RK73B2ATTD472J,RK73B2ATTD472J,KOA Speer,,4
660-RK73B2ATTD510J,RK73B2ATTD510J,KOA Speer,,6
660-RK73B2ATTD682J,RK73B2ATTD682J,KOA Speer,,4
798-U.FL-R-SMT01,U.FL-R-SMT(01),Hirose Electric,,6
640-USB4085-GF-A,USB4085-GF-A,Global Connector Technology (GCT),,1
865-XC6902N331MR-G,XC6902N331MR-G,Torex Semiconductor,,2
972-XLH738067108864X,XLH738067.108864X,Renesas Electronics,,1